,name,brand,description,details,occasion,style,subcategory_bottom,subcategory_top
116,Puffer Down Jacket,Theory,"Finished with a delicate dotted motif, this puffer jacket with down fill will keep you warm on colder days.","Stand collar
Long sleeves
Zip front
Waist seam pockets
Fill: Grey duck down
Polyamide/polyester/elastane
Dry clean
Imported of Italian fabric
SIZE & FITBoxy fit
About 31"" from shoulder to hem",[],[],N/A,N/A
117,Stretch-Terry Dress,Victoria Victoria Beckham,"Perfect for the workday and beyond, Victoria Beckham's modest dress is designed with drop sleeves and a knee-length hem. This relaxed style is detailed with contrast piping along the front and back— coordinate yours with burgundy ankle boots.","Slip on
Composition: viscose, polyester
Machine wash
Imported


Model measurements: height 5'9""/175cm - bust 32""/81.2cm - waist 24""/60.96cm - hip 34""/86.36cmShe is wearing size Small
This style fits true to sizeWe suggest taking your normal size","['Work', 'daytonight', 'work', 'DaytoNight', 'Weekend', 'weekend']","['Modern', 'modern', 'BusinessCasual', 'businesscasual']",N/A,N/A
118,Boy's Core Tape Logo Hoodie,Adidas,Contrast pieced fleece hoodie features linear brandmark trim along sleeves and screen-printed linear logo on left chest.,"Attached hood
Long sleeves
Pullover style
Kanga pocket
Logo taping along sleeves
Banded cuffs and hem
Cotton/polyester
Machine wash
Imported",[],[],N/A,N/A
119,Camo Cargo Joggers,2(X)IST,Jogger style lounge pants with a classic camo print.,"Elasticized waist
Waist slit pockets
Side cargo pockets
Banded cuffs
Cotton/spandex
Machine wash
Imported
SIZE & FITInseam, 30""",[],[],N/A,N/A
120,Little Boy's & Boy's Raglan Cotton Tee,Janie and Jack,This signature henley is crafted in the softest cotton. It's that cozy piece somewhere between a sweatshirt and a tee.,"Baseball collar
Long raglan sleeves
2-button placket
Cotton
Machine wash
Imported",[],[],N/A,N/A
121,Little Girl's Faux Bag Print Tee,Lili Gaufrette,A fun trompe l'oeil purse graphic makes this comfy tee a must have,"Crewneck
Long sleeves
Ribbed trim
Cotton/elastane
Machine wash
Imported",[],[],N/A,N/A
122,4G Vertical Logo Layered T-Shirt,Givenchy,All-in-one long-sleeve tee with the look of two layers sports a colorful 4G logo front and brand graphic on the back.,"Crewneck
Long sleeves
Pullover style
Cotton
Dry clean
Made in Portugal
SIZE & FITAbout 28"" from shoulder to hem",[],[],N/A,N/A
123,Allen Ace 49MM Round Sunglasses,Illesteva,Classic round sunglasses with architectural brow bar.,"100% UV protection
Solid lenses
Adjustable nose pads
Case and cleaning cloth included
Metal
Made in Italy
SIZE49mm lens width
23mm bridge width
145mm temple length","['vacation', 'daytonight', 'weekend']","['modern', 'classic', 'boho', 'casual']",N/A,N/A
124,Baby Boy's Colorblock Hoodie,Splendid,Two-tone hoodie with yarn-dyed striped lining in hood.,"Attached hood
Long sleeves
Zip front
Split kangaroo pocket
Cotton/polyester
Machine wash
Imported",[],[],N/A,N/A
125,Tanya snake-effect leather mules,BY FAR,Heel measures approximately 40mm/ 1.5 inches Snake-effect leather (Cow) Slip on Imported,"Fits true to size, take your normal size
Only available in full sizes, go up to the nearest whole size if you take a half size
Italian sizing",[],[],N/A,N/A
126,Murray Steel Print Shirt,Theory,"Tailored in Theory's standard fit, this spread-collar shirt has a folded clean placket and is made of crisp stretch cotton with an overlaid micro dot design.","Point collar
Long sleeves
Button front
Button barrel cuffs
Shirttail hem
Cotton/elastane
Dry clean
Imported of Italian fabric
SIZE & FITSlim fit
About 28"" from shoulder to hem",[],[],N/A,N/A
127,Boucle Plaid Suffolk Coat,Theory,Streamlined silhouette and tonal plaid pattern give this boucle plaid coat a modern sensibility.,"Notch lapels
Long sleeves
Concealed front placket
Waist pockets
Wool/cotton/polyester
Dry clean
Imported of Italian fabric
SIZE & FITTrue to size
Classic fit
About 32"" from shoulder to hem",[],[],N/A,N/A
128,Medium Signature Wave 18K Rose Gold Ring,Tamara Comolli,"The water drop, a Tamara Comolli signature design element, is reflected in this sculptural ring crafted of three curved drops embracing the finger.","18K rose gold
Imported
SIZEWidth, about 0.654""",[],[],N/A,N/A
129,Drab Strap Chronograph Watch,KYBOE!,unknown,"Chronograph watch with LED light hands
Quartz movement
Water-resistant to 10 ATM
Stainless steel round case
Rotating bezel
Screw-down crown
Black dial
Timer sub dials at 3 o'clock, 6 o'clock, and 9 o'clock
Numeral hour markers
Date display between 4 o'clock and 5 o'clock
Second hand
Strap, 55mm (2.25"")
Imported",[],[],N/A,N/A
130,Dyson Supersonic Hair Dryer,Dyson,"The hair dryer re-thought. Give an extraordinary gift this Mother’s Day. The Dyson Supersonic Limited Edition Mother’s Day set comes with a travel case exclusively designed by James Dyson. Value of packaging: Dyson diffuser: Engineered to disperse air evenly around each of your ringlets. Simulates natural drying to help reduce frizz and improve definition, Cool to touch, With Heat Shield technology, the surfaces of the attachments stay cool, Lightweight and balanced. We've turned convention on","The hair dryer re-thought. Give an extraordinary gift this Mother’s Day. The Dyson Supersonic Limited Edition Mother’s Day set comes with a travel case exclusively designed by James Dyson. Value of packaging: Dyson diffuser: Engineered to disperse air evenly around each of your ringlets. Simulates natural drying to help reduce frizz and improve definition, Cool to touch, With Heat Shield technology, the surfaces of the attachments stay cool, Lightweight and balanced. We've turned convention on",[],[],N/A,N/A
131,Chloe 57MM Oval Sunglasses,Tom Ford,Iconic tortoise frames elevate these oval sunglasses.,"100% UV protection
Gradient turquoise to sand lenses
Case and cleaning cloth included
Acetate/metal
Made in Italy
SIZE57mm lens width
19mm bridge width
145mm temple length",[],[],N/A,N/A
132,Ultimate Design Pretzel Sticks,Chocolate Covered Company,"Unique, one-of-a-kind pretzel sticks are paired together then hand-dipped and drizzled in milk, dark, and white chocolates before being rolled in a harvest of fanciful nuts and candies. A thoughtful gift for kids and co-workers alike.","Serves: 12
Covered in Belgian chocolate
Arrives in an elegant gift box
Made in USA
SPECIFICATIONSShelf life: 30 days if properly stored
6 oz.
7.5"" x 7.5"" x 2""
SPECIAL PROCESSING &",[],[],N/A,N/A
133,Corporus Stretch Denim Jacket,J Brand,"An All-American staple, this denim jacket is constructed with a hint of stretch for added comfort.","Point collar
Long sleeves
Button front
Button barrel cuffs
Chest patch flap pockets
Cotton/polyester/elastane
Machine wash
Made in USA
SIZE & FITBoxy fit
About 27"" from shoulder to hem",[],[],N/A,N/A
134,Hektor Leather Hiking Boots,Moncler,Sleek outdoor boots flaunt ultra-sporty mixed media styling and on-trend chunky sole.,"Leather upper
Round toe
Lace-up vamp
Back pull tab
Textile lining
Synthetic sole
Imported",[],[],N/A,N/A
135,"Baby's, Little Girl's & Girl's Tutu Dress",I Love Plum,"Styled with a leotard bodice and flouncy tulle skirt, this tutu dress is one adorable piece.","Scoopneck
Sleeveless
Bottom snap closures
Polyester/spandex
Hand wash
Imported",[],[],N/A,N/A
136,Little Boy's & Boy's Cotton Hoodie,Ralph Lauren,"Colorblock cotton hoodie adorned with tartan patches spelling out ""Polo"" across the front.","Attached hood
Long raglan sleeves with ribbed cuffs
Pullover style
Cotton
Machine wash
Imported",[],[],N/A,N/A
137,Exploded Star Cashmere Travel Wrap,White + Warren,"Tri-tone patterned travel wrap swaddles neck and shoulders in soft, cozy cashmere knit.","36""W x 81""L
100% cashmere
Hand wash
Imported",[],[],N/A,N/A
138,Little Girl's & Girl's Waves Logo Sweatshirt,Sol Angeles,Ultra-soft fleece sweatshirt branded by logo letters across the chest.,"Banded crewneck
Longs sleeves
Banded cuffs and hem
Pullover style
Front wave graphic
Contrast trim
Exposed seams
Polyester/rayon/spandex
Machine wash
Imported",[],[],N/A,N/A
139,Paxtyn Skinny-Fit Jeans,7 For All Mankind,Piping details lend edge to these essential five-pocket jeans.,"Belt loops
Five-pocket style
Zip fly with button closure
Cotton/spandex
Machine wash
Imported
SIZE & FITSkinny fit
Rise, about 10.25""
Inseam, about 32.75""
Leg opening, about 13.5""",[],[],N/A,N/A
140,Striped Long Sleeve T-Shirt,Polo Ralph Lauren,Essential crewneck t-shirt crafted in breathable cotton with nautical inspired stripes.,"Crewneck
Long sleeves
Ribbed trim
Cotton
Machine wash
Imported
SIZE & FITAbout 28"" from shoulder to hem",[],[],N/A,N/A
141,American Voices Silver Liberty Dog Tag Necklace,King Baby Studio,unknown,"From the American Voices Collection
Engraved pendant dog tag necklace is scultped in polished silver
Silver
Length, about 24""
Lobster clasp
Made in USA",[],[],N/A,N/A
142,Jerry Striped Faux Fur Coat,FRAME,"FRAME adds its casual touch to this 'Jerry' faux-shearling jacket by detailing it with contrast horizontal stripes. Tailored to the shoulders, this piece is crafted with an elongated hem and open front for easy removal. Pair with sleek leather pants to complement its texture. ","Slips on
Composition: 100% modacrylic
Dry clean
Imported


This style fits true to sizeWe suggest taking your normal size
Model measurements: height 5'9""/175cm - bust 32""/81.2cm - waist 24""/60.96cm - hip 34""/86.36cmShe is wearing size Small","['NightOut', 'daytonight', 'nightout', 'DaytoNight']","['Modern', 'glam', 'modern', 'Glam']",N/A,N/A
143,Chain-embellished linen-blend mini dress,Solid & Striped,"Black linen-blend Concealed zip fastening along side 55% linen, 45% rayon Imported","Fits true to size, take your normal size 
Cut for a loose fit
Lightweight, non-stretchy fabric
Model is 180cm/ 5’11” and is wearing a size Small",[],[],N/A,N/A
144,Yachting Lightweight Vest,Paul & Shark,From the Yachting Collection. This lightweight zip-front vest makes an excellent year-round layering piece.,"Spread collar
Sleeveless
Zipper front
Side slip pockets
Nylon lining
Polyester
Machine wash
Imported
SIZE & FITRegular fit
About 30"" from shoulder to hem",[],[],N/A,N/A
145,Geometric Lurex Tonal Evening Scarf,Etro,Shimmering lurex scarf crafted in Italy with an elegant geometric pattern and lightly fringed edges.,"Fringed edges
Viscose/cotton/wool/silk/metallized fiber
Dry clean
Made in Italy
SIZEAbout 18""W x 76""L",[],[],N/A,N/A
146,Oversize Cotton Jersey T-Shirt,Gucci,unknown,"Gucci Band print with Web and stars embroidery
Crewneck
Short sleeves
Pullover style
Oversize fit
About 29"" from shoulder to hem
Cotton jersey
Dry clean
Made in Italy",[],[],N/A,N/A
147,UV Protective Stick Foundation SPF 37,Shiseido,"A creamy stick foundation that beautifully protects skin from harmful UV rays. The creamy texture spreads evenly over the skin, leaving a dewy luminous finish. Ideal for touch ups. With exclusive SuperVeil-UV 360TM technology and ProfenseCELTM to resist aging, Shiseido sun foundations protect skin from damage caused by external aggressors such as UV rays and dryness. Resistant to water and sebum, they provide a long lasting, natural-looking finish, while safeguarding skin's beauty for the future. 0.31 oz.","A creamy stick foundation that beautifully protects skin from harmful UV rays. The creamy texture spreads evenly over the skin, leaving a dewy luminous finish. Ideal for touch ups. With exclusive SuperVeil-UV 360TM technology and ProfenseCELTM to resist aging, Shiseido sun foundations protect skin from damage caused by external aggressors such as UV rays and dryness. Resistant to water and sebum, they provide a long lasting, natural-looking finish, while safeguarding skin's beauty for the future. 0.31 oz.",[],[],N/A,N/A
148,Palm Tree Dress Shirt,Kiton,Speckled palm tree graphics adorn this button-down in an allover manner.,"Spread collar
Long sleeves
Buttoned barreled cuffs
Button front
Cotton
Machine wash
Made in Italy
SIZE & FITAbout 29"" from shoulder to hem",[],[],N/A,N/A
149,Serpenti Tubogas Stainless Steel Single Twist Watch,BVLGARI,unknown,"From the Serpenti Tubogas Collection
Stainless steel watch with double spiral bracelet
Quartz movement
Water resistant to 3 ATM
Curved stainless steel case, 35mm (1.4"")
Stainless steel bezel
Silver opaline dial with guilloche soleil treatment
Roman numeral and bar hour markers
Stainless steel crown with cabochon-cut pink rubellite
Single-spiral stainless steel Tubogas-style bracelet
Made in Switzerland",[],[],N/A,N/A
150,"Baby's, Toddler's & Kid's Bailey Button Boots",Ugg,unknown,"Button-accented boot with warm plush interior
Sheepskin and leather upper
Round toe
Button-and-loop closure
Sheepskin lining
Padded insole
EVA sole
Fur type: Dyed sheepskin
Fur origin: May be sourced from Australia, Ireland, the United Kingdom, or the United States
Imported",[],[],N/A,N/A
151,Plaid Pull-On Wide Leg Pants,Theory,Sophisticated plaid trousers with a flowing wide leg and tailored in a comfortable slip-on styling.,"Elasticized waist
Side seam pockets
Wide leg
Viscose/silk
Dry clean
Imported
SIZE & FITWide leg
Rise, about 13""
Leg-opening, about 12""
Inseam, about 30""
Model shown is 5'10"" (177cm) wearing US size Small",[],[],N/A,N/A
152,"Baby Boy's Four-Piece Tennis Polo, Pants, Mini Suitcase & Crocodile Plush Set",Lacoste,"A perfect gift for a lucky child: a polo and cardigan set in soft cotton jersey, presented in a mini suitcase with an iconic plush crocodile. Cotton. Machine wash. Imported.POLO","Polo collar
Short sleeves
Rib-knit cuffs
Two-button placket
PANTSElasticized drawstring waist
Pull-on style
Rolled cuffs
MINI SUITCASETop handle
Zip around closure
7.09""W x 2.36""H x 9.84""L",[],[],N/A,N/A
153,Baby Boy's Logo Track Jacket,Fendi,Logo racing stripes make this jacket the epitome of athleisure cool.,"Mockneck
Long sleeves
Banded cuffs and hem
Zip front
Cotton/polyester
Machine wash
Made in Italy",[],[],N/A,N/A
154,Hooded Puffer Dog Vest,Moncler,Nylon puffer dog vest with colorblock design in signature colors to keep your beloved pooch warm.,"Detachable hood
Snap closure
Lined
Polyamide
Fill: Polyester
Dry clean
Made in Italy
SIZE & FIT00: Length, 10""; Neck, 8.5""; Breast, 12.5""; Weight, 3-4.5 lbs
0: Lengh, 12"", Neck, 10"", Breast, 15.75""; Weight 5.5-6.5 lbs
1: Lengh, 13.75"", Neck, 12"", Breast, 17.75""; Weight 11-15.5 lbs
2: Lengh, 15.75"", N",[],[],N/A,N/A
155,"Baby Boy's, Little Boy's & Boy's Seagull Swim Trunks",Tom & Teddy,Playful seagull print covers bright swim trunks.,"Elasticized waistband with faux drawstring
Pull-on style
On-seam pockets
Back flap patch pocket
Cotton lining
Microfiber
Machine wash
Imported",[],[],N/A,N/A
156,Tanya metallic leather mules,BY FAR,Heel measures approximately 40mm/ 1.5 inches Gold leather  Slip on Imported,"Fits true to size, take your normal size 
Only available in full sizes, go up to the nearest whole size if you take a half size
Italian sizing
",[],[],N/A,N/A
157,Chambers Velvet Tuxedo Blazer,Theory,"A velvet blazer with contrasting grosgrain lapels and classic covered flat buttons. Modern and versatile in our structured fit, the this design is made of plush velvet with a hint of stretch.","Notch lapels
Long sleeves
Buttoned cuffs
Button front
Chest welt pocket
Waist welt pockets
Velvet
Dry clean
Imported
SIZE & FITAbout 31"" from shoulder to hem",[],[],N/A,N/A
158,Climbing short in cotton-nylon,J.Crew,"This short, a slightly baggier and longer cousin to our best-selling dock short, was inspired by vintage outdoor styles (check out the ticking on the drawstring, a nod to climbing ropes) and features durable cotton-nylon fabric. The back pockets close with low-profile snaps that won't get stuck on anything during your adventures. With a 7&quot; inseam, these shorts will fall just below midthigh.",unknown,[],[],N/A,N/A
159,Short-sleeve stretch Secret Wash shirt in tiny dot print,J.Crew,"We make our world-famous Secret Wash shirts with a top-secret, multistep wash process that makes them exceptionally soft and broken in from day one. These customer favorites also have Stretch on Demand&mdash;a bit of added flex that you only feel when you need it. Every month we introduce new colors and patterns, like this cool tiny dot print.",unknown,[],[],N/A,N/A
160,Imanea Beaded Sequin Mockneck Blouse,Isabel Marant,"Delicately beaded with shimmering sequins, this elegant sheer mockneck blouse is a sexy piece that gives major glamour to any ensemble.","Mockneck
Short sleeves
Back keyhole button close
High-low hem
Sequin beaded finish
Viscose
Dry clean
Imported
SIZE & FITAbout 25'' from shoulder to hem
Model shown is 5'10"" (177cm) wearing a US size 4",[],[],N/A,N/A
161,Les Beiges Exclusive Creation Healthy Glow Sheer Powder,CHANEL,"WHAT IT ISFrom the Les Beiges Collection. Presented in a limited-edition compact, this effortless multi-use face powder enhances, brightens or bronzes the appearance of the complexion for a custom, healthy-looking glow - alone or over makeup. 0.42 oz. Made in France.WHAT IT DOESInnovative technology protects against skin-dulling environmental stressors, while White Rose and Cotton Flower offer absolute comfort for even the most sensitive skin.HOW TO USE IT<","WHAT IT ISFrom the Les Beiges Collection. Presented in a limited-edition compact, this effortless multi-use face powder enhances, brightens or bronzes the appearance of the complexion for a custom, healthy-looking glow - alone or over makeup. 0.42 oz. Made in France.WHAT IT DOESInnovative technology protects against skin-dulling environmental stressors, while White Rose and Cotton Flower offer absolute comfort for even the most sensitive skin.HOW TO USE IT<",[],[],N/A,N/A
162,Monogram Moto Tapered-Fit Jeans,Balmain,"Stretch stone-washed jeans styled with ribbed biker panels, articulated knees and sleek hardware.","Seven-pocket style
Hidden closure
Zip fly
Paneled
Back logo patch
Back logo graphic
Cotton/polyurethane
Hand wash
Made in Japan
SIZE & FITSkinny tapered fit
Inseam, about 33""",[],[],N/A,N/A
163,Baby's Quilted Logo Nest Sleeper,Gucci,unknown,"Retro-style Gucci logo fronts this cozy baby sleeper
Side zip closure
Nylon
Dry clean
Made in Italy",[],[],N/A,N/A
164,Little Girl's & Girl's Cayolle Hooded Puffer Jacket,Moncler,A puffy hood and peplum add an extra level of cute to this adorable puffer jacket.,"Attached hood
Long sleeves
Concealed front zip closure
Side seam pockets
Puffed peplum hem
Lining: Nylon
Nylon
Fill: 90% goose down / 10% goose feather
Dry clean
Imported",[],[],N/A,N/A
165,Little Kid's & Kid's Fox Fur-Trimmed Parka,Moose Knuckles,Unisex parka with plush fox fur trim and logo plaque on left sleeve.,"Detachable hood with fur trim
Long sleeves
Zip front with snap button placket
Front pockets
Polyamide/cotton
Fill: Down/feather
Fur type: Dyed blue fox
Fur origin: Finland
Dry clean by fur specialist
Imported",[],[],N/A,N/A
166,Girl's Eyelet-Embroidered Cotton Top,Ralph Lauren,A ruffled overlay and eyelet embroidery make this airy cotton top a pretty pick for summer parties and family outings.,"Squareneck
Back button-and-loop closure
Ruffled hem
Shirred ruffled overlay with eyelet-embroidered
Cotton
Machine wash
Imported",[],[],N/A,N/A
167,Este leather ankle boots,BY FAR,Heel measures approximately 30mm/ 1 inch Off-white leather (Cow) Zip fastening along side Imported,"Fits true to size, take your normal size 
Only available in full sizes, go up to the nearest whole size if you take a half size
Italian sizing
","['NightOut', 'nightout', 'Work', 'daytonight', 'work', 'DaytoNight', 'Weekend', 'weekend']","['glam', 'Modern', 'Casual', 'Androgynous', 'BusinessCasual', 'classic', 'Classic', 'businesscasual', 'casual', 'modern', 'Glam', 'androgynous', 'edgy']",N/A,N/A
168,Slim-Fit Marled Ponte Single-Breasted Jacket,Theory,"Woven into a marled aesthetic, this fitted suit jacket exudes a vintage sensibility.","Notch lapels
Long sleeves
Buttoned cuffs
Button front
Waist flap pockets
Back vent
Fully lined
Viscose/polyamide/elastane
Dry clean
Imported of Italian fabric
SIZE & FITSlim-fit
About 32"" from shoulder to hem",[],[],N/A,N/A
169,Origami Double Link No.5 Earrings,Kavant & Sharart,unknown,"Composition: 18K Yellow Gold and 0.39 CT Diamonds
Closure: Post Closure, For Pierced Ears
Color: 18K Yellow Gold
Please note the possibility of natural inclusions in gemstones
Imported



Earring Face: 1.25"" Long by 0.6"" Wide",[],[],N/A,N/A
170,Baby Boy's Hoodie Cardigan,Ralph Lauren,Richly cabled knit cardigan with hoodie styling and signature polo pony crest.,"Attached hood
Long sleeves
Button front
Split kangaroo pocket
Cotton/polyester
Machine wash
Imported",[],[],N/A,N/A
171,Slim-Fit Short Sleeve Linen Sports Shirt,John Varvatos,Essential linen button-down shirt in stylish marbled print.,"Spread collar
Short sleeves with cuffs
Button front
Linen
Dry clean
Imported
SIZE & FITSlim fit
About 27"" from shoulder to hem",[],[],N/A,N/A
172,Orly Pillow,Nema Home,"Timeless, luxury pillow with embroidered lilies and luscious velvet backing","20""W x 20""L
Linen/polyester
Fill: Duck/down feathers
Spot clean
Imported",[],[],N/A,N/A
173,Rubber Logo Plaque Track Jacket,Dolce & Gabbana,Striped trim lends athleisure accents to this jacket.,"Stand collar
Long sleeves
Striped rib-knit cuffs and hem
ZIp front
Waist side slash zip pockets
Nylon lining
Polyester
Machine wash
Made in Italy
SIZE & FITAbout 28"" from shoulder to hem",[],[],N/A,N/A
174,Little Girl's & Girl's Tie-Front Plaid Shirt,Bella Dahl,A faded plaid design and tie-front silhouette defines this long-sleeve shirt.,"Point collar
Long sleeves with button barrel cuffs
Button front
Chest patch pockets
Tie-front hem
Acrylic/rayon
Machine wash
Made in USA",[],[],N/A,N/A
175,Mini croc-effect leather tote,BY FAR,Cream croc-effect leather (Cow) Snap-fastening front flap Weighs approximately 0.7lbs/ 0.3kg Made in Spain,This item's measurements are:,[],[],N/A,N/A
176,Riland Pique H.Breach Cotton Sweater,Theory,"This crewneck sweater is cut from waffle-textured cotton pique and finished with classic ribbed trims. With a regular fit, this sweater lends well to layering over tees or wearing solo.","Crewneck
Long sleeves
Pullover style
Rib-knit trim
Cotton
Hand wash
Imported
SIZE & FITRegular fit
About 28"" from shoulder to hem",[],[],N/A,N/A
177,Lauren snake-effect leather slingback pumps,BY FAR,Heel measures approximately 75mm/ 3 inches Snake-effect leather (Cow) Elasticated slingback strap Imported,"Fits true to size, take your normal size 
Only available in full sizes, go up to the nearest whole size if you take a half size
Italian sizing",[],[],N/A,N/A
178,Purist 105 mirrored-leather sandals,Aquazzura,Heel measures approximately 105mm/ 4 inches Gold mirrored-leather (Calf) Buckle-fastening ankle strap Come with dust bag Made in Italy,"Fits true to size, take your normal size 
Italian sizing","['NightOut', 'nightout', 'Work', 'daytonight', 'work', 'DaytoNight', 'Weekend', 'weekend']","['romantic', 'Modern', 'glam', 'Androgynous', 'classic', 'Classic', 'BusinessCasual', 'businesscasual', 'modern', 'Romantic', 'Glam', 'androgynous', 'edgy']",N/A,N/A
179,Babydoll Kiss and Blush Duo Stick,Yves Saint Laurent,"Two colors, playful and enigmatic, have limitless possibilities for lips and cheeks. Formulated in a matte gradation stick, this compact balm glides easily over lips, or cheeks, or both that brings lips and cheeks to life in limitless ways.Made in France.TIPS:","For Cheeks: On the cheeks, use the lighter shade placed above the apple of the cheeks, and the darker shade on the apple itself, then blend with a brush or with fingers to achieve a subtle gradation and blush effect.
Fo",[],[],N/A,N/A
180,Little Boy's & Boy's Print Polo,Lacoste,A playful vacation print adds vibrancy to this handsome fine-cotton polo.,"Polo colar
Short sleeves
Banded cuffs
Two-button placket
Chest logo embroidery
Cotton
Machine wash
Imported",[],[],N/A,N/A
181,Girl's Rumor Skinny Ankle Jeans,Hudson Jeans,Eyelet detail adds interest to the scalloped hem of these fitted stretch twill jeans for girls.,"Five-pocket style
Zip fly with top button
Sizes 7 to 10 have elasticized waistband
Skinny leg
Cotton/spandex
Machine wash
Imported",[],[],N/A,N/A
182,Regular-Fit Chinos,Paul & Shark,"Straight-leg in design, these crisp chinos are a wardrobe basic.","Belt loops
Five-pocket style
Zip fly with button closure
Cotton/spandex
Machine wash
Made in the Netherlands
SIZE & FITRegular-fit
Rise, about 9.37""
Inseam, about 35""
Leg opening, about 7.68""",[],[],N/A,N/A
183,Little Girl's & Girl's Little Mermaid Tank Dress,Chaser,Lovely Ariel illustrations merge with hearts on this tank dress.,"Roundneck
Sleeveless
Pullover style
Racerback
Cotton
Machine wash
Imported",[],[],N/A,N/A
184,Straight-Fit Hopsack Trousers,Boglioli,unknown,"Timeless cotton-blend trousers cut for a straight fit
Belt loops
Zip fly
Back buttoned pockets
Inseam, about 34""
Rise, about 10""
Leg opening, about 15""
Cotton/elastane
Dry clean
Made in Italy",[],[],N/A,N/A
185,Function Contrast Trim Polo,Theory,Bold cuff stripes elevate the athleisure style of this soft polo made with woven-in stretch.,"Polo collar
Short sleeves
Banded cuffs and hem
Button placket
Pima cotton/Lycra/spandex
Machine wash
Imported
SIZE & FITAbout 29"" from shoulder to hem",[],[],N/A,N/A
186,Leather ankle boots,See By Chloé,Heel measures approximately 55mm/ 2 inches with a 30mm/ 1 inch platform  Black leather Lace-up front ImportedSmall to size. See Size & Fit notes.,"Fits small to size, take a full size larger than normal
Only available in full sizes, go up to the nearest whole size if you take a half size
Italian sizing
",[],[],N/A,N/A
187,18K Gold Vivid Pink Enamel Alphabet Charm,Jenna Blake,unknown,"Composition: 18K Yellow Gold, 0.40 CT Diamonds and Enamel
Closure: Pendant has a spring clasp to hook on to your chain of choice
Color: Vibrant Pink
Please note the possibility of natural inclusions in gemstones
Made in the USA



Pendant only, chain is sold separately
Height: 2.25""
Width: 1""",[],[],N/A,N/A
188,Classic-Fit Gingham Linen Shirt,Polo Ralph Lauren,"Breathable, lightweight linen and genuine mother-of-pearl buttons elevate this shirt’s surplus-inspired silhouette.","Point collar
Long sleeves
Button front
Button barrel cuffs
Chest button flap pockets
Shirttail hem
Back box pleat
Linen
Trim: Mother-of-pearl
Machine wash
Imported
SIZE & FITClassic fit
About 31.5"" from shoulder to hem",[],[],N/A,N/A
189,Animals Elephant Picture Frame,Michael Aram,"The Animals collection is inspired by the joy and wonderment of children: their unique excitement at the world around them, and our precious memories of them as they experience the world.","Accomdates a 4 x 6 photo
7""W x 6.5""L
Nickel-plated/enamel
Wipe clean
Imported",[],[],N/A,N/A
190,Wool Wide Brim Fedora,New Era,Wool felt wide brim fedora with raw edge brim and grosgrain interior sweatband.,"Interior sweatband
Wool
Spot clean
Imported
SIZEBrim width, about 2.75''",[],[],N/A,N/A
191,Rouge Dior Lipstick,Dior,"With Rouge Dior's cult formula of 16-hour comfort, women feel good all day, in any color, in satin or matte finish. The highly pigmented formula includes a unique combination of ""lip care"" ingredients for optimal comfort (even in the Matte shades) and lasting hold. A true object of desire, Rouge Dior comes with a metallic couture case crafted with secret details. In a touch of private luxury, the inside of each cap is lined with Dior's sexy signature color, Rouge 999. ""I created this Rouge Dior collection","With Rouge Dior's cult formula of 16-hour comfort, women feel good all day, in any color, in satin or matte finish. The highly pigmented formula includes a unique combination of ""lip care"" ingredients for optimal comfort (even in the Matte shades) and lasting hold. A true object of desire, Rouge Dior comes with a metallic couture case crafted with secret details. In a touch of private luxury, the inside of each cap is lined with Dior's sexy signature color, Rouge 999. ""I created this Rouge Dior collection",[],[],N/A,N/A
192,Panama Leather Cosmetic Case,Smythson,From the Panama Collection. Zip-top cosmetic case in softly textured leather.,"Zip top closure
Interior ruched pocket
Oil-resistant satin lining
Goldtone hardware
Cross grain leather
Made in Italy
SIZE7.5""W x 4.5""H x 3""D",[],[],N/A,N/A
193,Classic-Fit Maxson Shirt,Theory,"Crisp in design, this classic shirt is versatile in aesthetic.","Spread collar
Long sleeves
Buttoned barreled cuffs
Button front
Chest patch pocket
Shirttail hem
Cotton
Dry clean
Imported of Italian fabric
SIZE & FITClassic-fit
About 28"" from shoulder to hem",[],[],N/A,N/A
194,Nao Top,Hossh,Hossh's 'Nao' top is designed with a cropped silhouette. It features a deep V-neckline and ruffle pleated details on the sleeves.,"*As featured in the Fall/Winter '19 Lookbook
Sleeveless, cropped, Lined
pulls on
Composition: 78% Nylon 22 % Spandex / 100% Polyester
Dry clean only
Made in Colombia


Sample size XS",[],[],N/A,N/A
195,Nudo 18K Rose Gold & Amethyst Petite Square Ring,Pomellato,"From the Nudo Collection. The warm, rich violet shimmer of an edgeless amethyst cushion is gorgeous upon a understated, slender shank of 18k rose gold.","Amethyst
18K rose gold
Made in Italy
SIZEWidth, about 0.4""",[],[],N/A,N/A
196,Topham Woven Cotton Shirt,Burberry,Crisp cotton button-down shirt flaunts off-centred logo graphics for an on-trend look.,"Spread collar
Long sleeves
Buttoned barreled cuffs
Button front
Straight hem
Cotton
Machine wash
Imported
SIZE & FITAbout 31.5"" from shoulder to hem",[],[],N/A,N/A
197,iPhone 8 Phone Case,Moschino,Playful embroidered graphics and logo lettering enhance this iPhone 8 case.,"Embroidered logo details
Polycarbonate/polyurethane
Made in Italy
SIZECompatible with iPhone 8",[],[],N/A,N/A
